Proposed Publish Date,Blog Title,Category,Status,File Path,Hero Image (webp),Hero Image (jpg)
2025-10-01,How Often Should You Change Your Furnace Filter?,Heating,Draft (ready),blog/drafts/how-often-to-change-furnace-filter.html,assets/blog/how-often-to-change-furnace-filter.webp,assets/blog/how-often-to-change-furnace-filter.jpg
2025-10-15,Top 9 Furnace Repair Warning Signs,Heating,Draft (ready),blog/drafts/furnace-repair-warning-signs.html,assets/blog/furnace-repair-warning-signs.webp,assets/blog/furnace-repair-warning-signs.jpg
2025-10-29,Heat Pump vs Furnace in Washington: What’s Best?,Heating,Draft (ready),blog/drafts/heat-pump-vs-furnace-wa.html,assets/blog/heat-pump-vs-furnace-wa.webp,assets/blog/heat-pump-vs-furnace-wa.jpg
2025-11-12,Your Winter Heating Checklist for the South Sound,Heating,Draft (ready),blog/drafts/winter-heating-checklist.html,assets/blog/winter-heating-checklist.webp,assets/blog/winter-heating-checklist.jpg
2025-11-26,Ductless vs Ducted: Which Fits Your Home?,Heating,Draft (ready),blog/drafts/ductless-vs-ducted-explained.html,assets/blog/ductless-vs-ducted-explained.webp,assets/blog/ductless-vs-ducted-explained.jpg
2025-12-10,Thermostat Troubleshooting: Quick Fixes Before You Call,Heating,Draft (ready),blog/drafts/thermostat-troubleshooting.html,assets/blog/thermostat-troubleshooting.webp,assets/blog/thermostat-troubleshooting.jpg
2025-12-24,11 Ways to Improve AC Efficiency This Summer,AC,Draft (ready),blog/drafts/improve-ac-efficiency.html,assets/blog/improve-ac-efficiency.webp,assets/blog/improve-ac-efficiency.jpg
2026-01-07,AC Running but Not Cooling? 8 Things to Check,AC,Draft (ready),blog/drafts/ac-not-cooling.html,assets/blog/ac-not-cooling.webp,assets/blog/ac-not-cooling.jpg
2026-01-21,Spring AC Tune-Up Checklist,AC,Draft (ready),blog/drafts/spring-ac-tuneup-checklist.html,assets/blog/spring-ac-tuneup-checklist.webp,assets/blog/spring-ac-tuneup-checklist.jpg
2026-02-04,Mini‑Split Zoning: Room‑by‑Room Comfort,AC,Draft (ready),blog/drafts/mini-split-zoning-benefits.html,assets/blog/mini-split-zoning-benefits.webp,assets/blog/mini-split-zoning-benefits.jpg
2026-02-18,Refrigerant Leak Signs (and What to Do),AC,Draft (ready),blog/drafts/refrigerant-leak-signs.html,assets/blog/refrigerant-leak-signs.webp,assets/blog/refrigerant-leak-signs.jpg
2026-03-04,Best Thermostat Settings for PNW Summers,AC,Draft (ready),blog/drafts/best-thermostat-settings-summer.html,assets/blog/best-thermostat-settings-summer.webp,assets/blog/best-thermostat-settings-summer.jpg
2026-03-18,When to Upgrade Your Electrical Panel,Electrical,Draft (ready),blog/drafts/when-to-upgrade-electrical-panel.html,assets/blog/when-to-upgrade-electrical-panel.webp,assets/blog/when-to-upgrade-electrical-panel.jpg
2026-04-01,GFCI vs AFCI: What’s the Difference?,Electrical,Draft (ready),blog/drafts/gfci-afci-explained.html,assets/blog/gfci-afci-explained.webp,assets/blog/gfci-afci-explained.jpg
2026-04-15,EV Charger Installation Guide (Homeowners),Electrical,Draft (ready),blog/drafts/ev-charger-install-guide.html,assets/blog/ev-charger-install-guide.webp,assets/blog/ev-charger-install-guide.jpg
2026-04-29,Why Whole‑Home Surge Protection Matters,Electrical,Draft (ready),blog/drafts/whole-home-surge-protection.html,assets/blog/whole-home-surge-protection.webp,assets/blog/whole-home-surge-protection.jpg
2026-05-13,Aluminum Wiring: Risks & Remedies,Electrical,Draft (ready),blog/drafts/aluminum-wiring-safety.html,assets/blog/aluminum-wiring-safety.webp,assets/blog/aluminum-wiring-safety.jpg
2026-05-27,Transfer Switch vs Interlock: Which Is Safer?,Electrical,Draft (ready),blog/drafts/generator-transfer-switch.html,assets/blog/generator-transfer-switch.webp,assets/blog/generator-transfer-switch.jpg
2026-06-10,Improve Indoor Air Quality in Winter,General,Draft (ready),blog/drafts/iaq-in-winter.html,assets/blog/iaq-in-winter.webp,assets/blog/iaq-in-winter.jpg
2026-06-24,Seasonal HVAC Maintenance Schedule,General,Draft (ready),blog/drafts/seasonal-hvac-schedule.html,assets/blog/seasonal-hvac-schedule.webp,assets/blog/seasonal-hvac-schedule.jpg
2026-07-08,Energy‑Saving Tips for Washington Homes,General,Draft (ready),blog/drafts/energy-savings-wa-home.html,assets/blog/energy-savings-wa-home.webp,assets/blog/energy-savings-wa-home.jpg
2026-07-22,How to Choose an HVAC Contractor (WA License Guide),General,Draft (ready),blog/drafts/how-to-choose-hvac-contractor.html,assets/blog/how-to-choose-hvac-contractor.webp,assets/blog/how-to-choose-hvac-contractor.jpg
2026-08-05,Financing HVAC & Electrical Projects: What to Know,General,Draft (ready),blog/drafts/financing-hvac-projects.html,assets/blog/financing-hvac-projects.webp,assets/blog/financing-hvac-projects.jpg
2026-08-19,Prepare Your Home for a Cold Snap,General,Draft (ready),blog/drafts/prepare-home-cold-snap.html,assets/blog/prepare-home-cold-snap.webp,assets/blog/prepare-home-cold-snap.jpg
